INFO 2024-12-01 16:19:42,430 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1730590523.3290713
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1730590521.831875
DEBUG 2024-12-01 16:19:42,662 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\graphlib.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\cloudinary\compat.py first seen with mtime 1731422613.5553343
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\backends\postgresql\base.py first seen with mtime 1730590523.3459918
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1730590523.2928505
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1730590523.3943076
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\numbers.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\wsgiref\handlers.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1730590523.4774022
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\DLLs\_ssl.pyd first seen with mtime 1712054600.0
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\ipaddress.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,663 autoreload File C:\Users\andon\AppData\Local\Programs\Python\Python311\Lib\re\_constants.py first seen with mtime 1712054574.0
DEBUG 2024-12-01 16:19:42,664 autoreload File C:\Users\andon\Desktop\softuni\maistor-box\venv\Lib\site-packages\urllib3\util\timeout.py first seen with mtime 1731422612.9826727
